id,templateName,slug,emailDescription,subject,emailTitle,emailContent,isActive,createdAt,updatedAt
181,Club Registration Unsuccessful for area owner,club-registration-unsuccessful-for-area-owner,This email is sent to Area Owners when the club requested by them is rejected.,Club Request Rejected,Club Request Rejected,"Dear {areaowner},Sorry! Your requested club with following details can't be approved in the TouristSaver system due to below mentioned issues.&nbsp;&nbsp;Club Name : {club_name}&nbsp;Email : {club_email}&nbsp;Phone : {club_phone}&nbsp;&nbsp;Issues:&nbsp;{issues_description}Please contact TouristSaver.",True,2022-11-15 12:53:11.722 +0545,2023-04-02 13:42:53.879 +0545
15,Expiry of Merchant Piiinks,expiry-of-merchant-piiinks,Email sent to member when their Merchant TouristSavers are about to expire.,Merchant TouristSavers Expiry,Merchant TouristSavers Expiry,"Dear {member},&nbsp;Merchant TouristSavers from {merchantname} in your TouristSaver account are going to expire on {merchantpiinkexpirydate}. Please make use of these touristsavers before they expire.&nbsp;",True,2022-11-08 17:38:17.318 +0545,2023-09-07 12:03:25.410 +0545
171,Registration of Club by country admin,registration-of-club-by-country-admin,This email is sent to clubs when they are registered by country admin.,Registration Successful,Registration Successful,"Dear {club},Congratulations! Your club has been successfully registered to TouristSaver. Please use the following credentials to login to your Dashboard.&nbsp;We suggest that you copy and paste your username and password, if capital letter, dashes, spaces and underscores are used they must be replicated.&nbsp;Email : {email}Password : {password}Click here to login in to club Dashboard.&nbsp;Your membership issuer code{membership_issuer_code}You can use given membership issuer code to issue memberships.Please find the &nbsp;Issuer QR code code attached to this email for your convenience.",True,2022-11-13 12:35:27.385 +0545,2023-09-14 09:02:52.106 +0545
134,Reset Password,reset-password,Reset Password,Reset Password,Reset Password,"Dear {username},Please click the following button to reset your password for TouristSaver.",True,2022-11-11 09:20:54.780 +0545,2023-01-19 17:48:41.883 +0545
341,KYC Verified,kyc-verified,This email is sent to user when their KYC is verified by Global Admin,KYC Verified,KYC Verified,"Dear {user},Congratulations!! Your KYC details has been verified.",True,2024-11-19 11:04:28.660 +0545,2024-11-19 11:04:28.660 +0545
288,Assign of New or Additional Transaction Code to Merchant,assign-of-new-or-additional-transaction-code-to-merchant,Assign of Transaction Code to Merchant,Transaction Code Assigned,Transaction Code Assigned,"Dear {merchant},Congratulations! You have been successfully assigned with &nbsp;{transaction_code_count} {new_or_additional} transaction codes.Your transaction verification code(s){transaction_verification_code}&nbsp;You can use the given transaction verification code to perform transaction with the member.&nbsp;&nbsp;Please find the &nbsp;Transaction QR code(s) attached to this email for your convenience.",True,2023-08-28 09:05:52.318 +0545,2023-08-28 09:43:12.304 +0545
138,New EOI Received of club,new-eoi-received-of-club,This email is sent to Country Admin when new Club EOI is received.,New Registration Received,New Registration Received,"Dear {countryadmin},A New Club request has been received.&nbsp;Club Name : {club_name}Email:{club_email}Phone:{club_phone}Login to your Dashboard to view this request.",True,2022-11-11 09:26:12.930 +0545,2023-09-07 10:50:54.415 +0545
66,Charity  Agreement Rejected,charity-agreement-rejected,Charity Agreement Rejected,Charity Agreement Rejected,Charity Agreement Rejected,"Dear {charity},&nbsp;&nbsp;Your submitted Charity Agreement agreement could not be verified. Please fix the issues mentioned below and re-submit the agreement from Agreement &gt; Charity Owner Agreement section.&nbsp;&nbsp;Issues:&nbsp;{issues_description}",False,2022-11-09 12:19:28.225 +0545,2023-01-19 18:07:03.391 +0545
342,KYB Verified,kyb-verified,This email is sent to user when their KYB is verified by Global Admin,KYB Verified,KYB Verified,"Dear {user},Congratulations!! Your KYB details has been verified.",True,2024-11-19 11:05:06.849 +0545,2024-11-19 11:05:06.849 +0545
290,Assign of New or Additional transaction codes and issuer codes to Merchant,assign-of-new-or-additional-transaction-codes-and-issuer-codes-to-merchant,Email sent to merchants when additional transaction and issuer codes are assigned.,Transaction Code and Issuer Code Assigned,Transaction Code and Issuer Code Assigned,"Dear {merchant},Congratulations! You have been successfully assigned with {transaction_code_count} {new_or_additional} transaction codes and {issuer_code_count} issuer codes.Your transaction verification code(s){transaction_verification_code}&nbsp;You can use the given transaction verification code to perform transaction with the member.&nbsp;Your membership issuer code(s){membership_issuer_code}&nbsp;You can use given membership issuer code to issue members.&nbsp;&nbsp;Please find the Issuer QR code(s) and Transaction QR code(s) attached to this email for your convenience.",True,2023-08-28 09:05:52.318 +0545,2023-08-28 09:05:52.318 +0545
373,Happy New Year 2025 to Piiink Users,happy-new-year-2025-to-piiink-users,Happy New Year email sent to all users in TouristSaver except licensees,Happy New Year 2025,Happy New Year 2025,"Dear {user},Wishing you a Happy New Year 2025!",True,2025-01-06 10:49:28.163 +0545,2025-01-06 10:50:29.600 +0545
73,Registration(EOI) Submitted for state owner,registration-eoi-submitted-for-state-owner,Email sent to state owner when the their EOI is summitted successfully,Expression of Interest Submitted,Expression of Interest Submitted,"Dear {username},Congratulations!! Your request to register with TouristSaver has been successfully submitted. Our team will contact you shortly.",True,2022-11-09 12:29:55.309 +0545,2023-09-07 11:28:26.983 +0545
175,Charity Registration Unsuccessful for collaboration partner,charity-registration-unsuccessful-for-collaboration-partner,Email sent to Collaboration Partners when the charity requested by them is rejected. ,Charity Request Rejected,Charity Request Rejected,"Dear {collaborationpartner},Sorry! Your requested charity with following details can't be approved in the TouristSaver system due to below mentioned issues.Charity Name : {charity_name}Email : {charity_email}Phone : {charity_phone}&nbsp;Issues:&nbsp;{issues_description}&nbsp;Please contact TouristSaver.",True,2022-11-15 12:47:23.162 +0545,2023-04-02 13:27:04.075 +0545
173,Charity Registration Unsuccessful for region owner,charity-registration-unsuccessful-for-region-owner,Email sent to Region Owners when the charity requested by them is rejected. ,Charity Request Rejected,Charity Request Rejected,"Dear {regionowner},Sorry! Your requested charity with following details can't be approved in the TouristSaver system due to below mentioned issues.Charity Name : {charity_name}Email : {charity_email}Phone : {charity_phone}&nbsp;Issues:&nbsp;{issues_description}Please contact TouristSaver.",True,2022-11-15 12:46:09.627 +0545,2023-04-02 13:27:36.683 +0545
180,Club Registration Unsuccessful for region owner,club-registration-unsuccessful-for-region-owner,This email is sent to Region Owners when the club requested by them is rejected.,Club Request Rejected,Club Request Rejected,"Dear {regionowner},Sorry! Your requested club with following details can't be approved in the TouristSaver system due to below mentioned issues.&nbsp;&nbsp;Club Name : {club_name}Email : {club_email}Phone : {club_phone}&nbsp;Issues:&nbsp;{issues_description}Please contact TouristSaver.
",True,2022-11-15 12:52:40.961 +0545,2023-04-02 13:43:10.300 +0545
174,Charity Registration Unsuccessful for area owner,charity-registration-unsuccessful-for-area-owner,This email is sent to Area Owners  when the charity requested by them is rejected. ,Charity Request Rejected,Charity Request Rejected,"Dear {areaowner},Sorry! Your requested charity with following details can't be approved in the TouristSaver system due to below mentioned issues.&nbsp;Charity Name : {charity_name}Email : {charity_email}Phone : {charity_phone}&nbsp;Issues:&nbsp;{issues_description}Please contact TouristSaver.&nbsp;",True,2022-11-15 12:47:00.330 +0545,2023-04-02 13:46:35.177 +0545
289,Assign of  New or Additional Issuer Code to Merchant,assign-of-new-or-additional-issuer-code-to-merchant,Email sent to merchants when additional  issuer codes are assigned.,Issuer Code Assigned,Issuer Code Assigned,"Dear {merchant},Congratulations! You have been successfully assigned with &nbsp;{issuer_code_count} {new_or_additional} issuer codes.Your membership issuer code(s){membership_issuer_code}&nbsp;You can use given membership issuer code to issue members.&nbsp;&nbsp;Please find the Issuer QR code(s) &nbsp;attached to this email for your convenience.",True,2023-08-28 09:05:52.318 +0545,2023-08-28 09:43:16.507 +0545
52,Region Owner Agreement Submission,region-owner-agreement-submission,Region Owner Agreement Submission,New Region Owner Agreement Received,New Region Owner Agreement Received,"Dear {countryadmin},&nbsp;A New Region Licensee Agreement has been received.&nbsp;&nbsp;Region Licensee Name : {regionownername}&nbsp;Email:{regionowner_email}Phone:{regionowner_phone}&nbsp;Login to your panel to view this request.",False,2022-11-09 10:38:05.728 +0545,2023-01-19 18:11:25.300 +0545
343,KYB Rejected,kyb-rejected,This email is sent to user when their KYB is rejected.,KYB Rejected,KYB Rejected,"Dear {user},Your KYB details has been rejected.Rejection Reason:&nbsp;{rejection_reason}Please re-submit the KYB form by correcting details.",True,2024-11-19 11:05:47.160 +0545,2024-11-19 11:05:47.160 +0545
129,Save for Draft Email,save-for-draft-email,Save for Draft Email,Registration Draft Email,Registration Draft Email,"Dear {username},Your registration as a merchant has been saved as a draft. Please use the following link to continue to the registration page.{dynamic_link}",True,2022-11-11 09:16:13.032 +0545,2023-09-07 11:03:47.638 +0545
111,EOI Rejected of State Owner,eoi-rejected-of-state-owner,"Email sent to EOI sender when their EOI for State Owner is rejected by TouristSaver.
",Expression of Interest Rejected,Expression of Interest Rejected,"Dear username,Your request for a State Licensee registration with TouristSaver could not be approved due to the following issues. Please contact TouristSaver.Issues:&nbsp;{issues_description}",True,2022-11-09 17:18:18.384 +0545,2023-09-07 11:17:35.440 +0545
276,Merchant Group Registration Successful for signer,merchant-group-registration-successful-for-signer,This email is sent to the merchant group signer when the merchant group is approved,Merchant Group Registration Successful,Merchant Group Registration Successful,"Dear {signername},&nbsp;Congratulations! Following merchant group has been successfully registered.Merchant Group Name: {merchantgroup_name}Email: {merchantgroup_email}Phone: {merchantgroup_phonel}",True,2023-07-28 09:21:17.923 +0545,2023-07-28 09:21:17.923 +0545
70,Club  Agreement Rejected,club-agreement-rejected,Club Agreement Rejected ,Club Agreement Rejected ,Club Agreement Rejected ,"Dear {club},&nbsp;&nbsp;Your submitted Club Agreement agreement could not be verified. Please fix the issues mentioned below and re-submit the agreement from Agreement &gt; Club Agreement section.&nbsp;&nbsp;Issues:{issues_description}",False,2022-11-09 12:23:47.640 +0545,2023-01-19 18:05:49.692 +0545
311,Email opened by receiver email to Sender,email-opened-by-receiver-email-to-sender,This email is sent to TouristSaver admin when any email sent to the receiver is opened by them,Email Opened by Receiver,Email Opened by Receiver,"Dear {user},This is to inform you that, an email titled '{email_subject}' sent on {date} has been opened by {receiver}Email opened date: {email_opened_date}",True,2024-02-08 12:37:22.685 +0545,2024-02-08 13:25:45.659 +0545
275,Verification of the Merchant Group by country admin,verification-of-the-merchant-group-by-country-admin,This email is sent to merchant groups when they are successfully,Registration Successful,Registration Successful,"Dear {merchantgroup_name},&nbsp;Congratulations! You have been successfully registered to TouristSaver.Please use the following credentials to login to your Dashboard.Username : {username}Password : {password}&nbsp;Click here to login in to your dashboard using above credentials. We suggest that you copy and paste your username and password, if dashes, spaces and underscores are used they must be replicated.&nbsp;You can now create subsidiary merchants from your dashboard.",True,2023-07-28 09:19:52.705 +0545,2023-09-07 08:11:08.933 +0545
280,Assign of  Transaction Code to Merchant,assign-transaction-code-to-merchant,This email is sent to merchant who wasn't previously assigned with transaction code during verification,Transaction Code Assigned,Transaction Code Assigned,"Dear {merchant},Congratulations! You have been successfully assigned a transaction verification code.Your transaction verification code{transaction_verification_code}&nbsp;You will use this transaction verification code when you make a sale/transact with TouristSaver members.&nbsp;Please find the Transaction QR code attached to this email for your convenience.&nbsp;",True,2023-08-17 12:32:09.838 +0545,2023-09-14 08:23:38.908 +0545
310,Interaction Button Clicked Email to Admin,interaction-button-clicked-email-to-admin,This email is sent to admin when interaction button in the document is clicked by the receiver.,Interaction Button Clicked,Interaction Button Clicked,"Dear {admin},This is to inform you that user has clicked the interaction button available in the {document_name} document sent on the email titled '{email_subject}' by {sender_role} named {sender_name} on {date}.Button clicked date: {interaction_button_clicked_date}Interaction Button Content :{interaction_button_content}Interaction Button Response : {interaction_button_response}Recepient Email : {receipient_email}",True,2024-02-08 12:36:28.939 +0545,2024-02-08 13:25:39.950 +0545
88,New Registration of Merchant,new-registration-of-merchant,New Registration of Merchant,New Registration Received,New Registration Received,"Dear {admin},&nbsp;&nbsp;A New merchant registration has been received.&nbsp;&nbsp;Merchant name : {merchantname}Email : {merchantemail}&nbsp;Phone : {merchantphone}&nbsp;&nbsp;Login to your Dashboard to view this request.",True,2022-11-09 16:13:24.331 +0545,2023-09-07 11:23:01.320 +0545
59,Area Owner  Agreement Re-Submission,area-owner-agreement-re-submission,Area Owner  Agreement Re-Submission,Area Owner Agreement Re-submission Received,Area Owner Agreement Re-submission Received,"Dear {countryadmin},&nbsp;An Area Licensee Agreement has been re-submitted.&nbsp;&nbsp;Area Licensee Name : {regionownername}&nbsp;Email:{areaowner_email}&nbsp;Phone:{areaowner_phone}&nbsp;&nbsp;Login to your panel to view this request.",False,2022-11-09 12:12:19.218 +0545,2023-01-19 18:09:26.827 +0545
107,New EOI Received of state owner,new-eoi-received-of-state-owner,Email sent to country owner when new EOI of State Owner is received.,New Registration Received,New Registration Received,"Dear {countryadmin},A New State Licensee request has been received.&nbsp;Name : {username}Email:{useremail}Phone:{userphone}Login to your Dashboard to view this request.",True,2022-11-09 17:15:27.850 +0545,2023-09-07 11:20:14.404 +0545
344,KYC Rejected,kyc-rejected,This email is sent to user when their KYC is rejected.,KYC Rejected,KYC Rejected,"Dear {user},Your KYC details has been rejected.Rejection Reason:&nbsp;{rejection_reason}Please re-submit the KYC form by correcting details.",True,2024-11-19 11:06:17.663 +0545,2024-11-19 11:06:17.663 +0545
55,Region Owner  Agreement Re-Submission,region-owner-agreement-re-submission,Region Owner  Agreement Re-Submission,Region Owner Agreement Re-submission ReceivedRegion Owner Agreement Re-submission Received,Region Owner Agreement Re-submission Received,"Dear {countryadmin},&nbsp;A Region Licensee Agreement has been re-submitted.&nbsp;&nbsp;Region Licensee Name : {regionownername}&nbsp;Email:{regionowner_email}Phone:{regionowner_phone}&nbsp;&nbsp;Login to your panel to view this request.",False,2022-11-09 10:53:49.826 +0545,2023-01-19 18:10:36.764 +0545
93,Issuer Agreement Approved for Merchant,issuer-agreement-approved-for-merchant,Issuer Agreement Approved for Merchant,Issuer Agreement Approved,Issuer Agreement Approved,"Dear {merchant},&nbsp;&nbsp;Congratulations!! The issuer agreement you submitted has been verified. As per your package you have been assigned with {premium_member_codes_count}premium member codes. Please log into your panel and go to Premium codes &gt; Premium member codes to view these codes. You can now issue membership using following issuer code.&nbsp;&nbsp;Your Issuer Code&nbsp;{issuer_code}",False,2022-11-09 16:42:25.205 +0545,2023-01-19 18:02:36.878 +0545
116,EOI Rejected of  Charity,eoi-rejected-of-charity,Email sent to EOI sender when their EOI for charity is rejected by TouristSaver.,Expression of Interest Rejected,Expression of Interest Rejected,"Dear {username},Your request for Charity registration with TouristSaver could not be approved due to the following issues. Please contact TouristSaver.Issues:{issues_description}",True,2022-11-09 17:21:27.301 +0545,2023-09-07 11:14:13.807 +0545
83,Registration(EOI) Submitted for charity,registration-eoi-submitted-for-charity,Email sent to charity when the their EOI is summitted successfully,Expression of Interest Submitted,Expression of Interest Submitted,"Dear {charity},Congratulations!! Your request to register with TouristSaver has been successfully submitted. Our team will contact you shortly.",True,2022-11-09 14:05:07.195 +0545,2023-09-07 11:24:50.888 +0545
141,Charity Registration Successful for sales agent,charity-registration-successful-for-sales-agent,Email sent to Sales Agent when the charity requested by them is approved. ,Charity Registration Successful,Charity Registration Successful,"Dear {salesagent},Congratulations!! Your requested charity with following details has been successfully registered in the TouristSaver System.&nbsp;Charity Name: {charity_name}Email: {charity_email}Phone: {charity_phone}Please encourage this club to sign the charity agreement so that they can issue membership",True,2022-11-11 09:32:38.252 +0545,2023-04-02 13:29:46.698 +0545
185,Registration via Nomination Rejected for Collaboration Partner,registration-via-nomination-rejected-for-collaboration-partner,Registration via Nomination Rejected for Collaboration Partner,Registration Unsuccessful,Registration Unsuccessful,"Dear {collaborationpartner},Sorry! Your registration as a collaboration partner in TouristSaver is unsuccessful due to following issues. Please contact TouristSaver.Issues:&nbsp;{issues_description}",True,2022-11-17 09:49:26.180 +0545,2023-01-31 11:55:21.209 +0545
115,EOI Rejected of Sales Agent,eoi-rejected-of-sales-agent,Email sent to EOI sender when their EOI for Sales Agent  is rejected by TouristSaver.,Expression of Interest Rejected,Expression of Interest Rejected,"Dear {salesagent},Your request for a Sales Agent registration with TouristSaver could not be approved due to the following issues. Please contact TouristSaver.Issues:&nbsp;{issues_description}",True,2022-11-09 17:20:55.908 +0545,2023-09-07 11:15:27.728 +0545
277,Email on the transfer of Merchant Piiinks to Member,email-on-the-transfer-of-merchant-piiinks-to-member,This email is sent to the receiver when they receive merchant TouristSavers for member,Merchant TouristSavers Received,Merchant TouristSaver Received,"Dear {receiver_member},&nbsp;You have received {merchant_piiink_count}{merchant_name} TouristSavers from {sender_member}. Login to app and navigate to My Wallet &gt; Active Merchant Wallets &gt; View All to see TouristSavers.",True,2023-07-28 09:22:06.104 +0545,2023-07-30 07:22:50.869 +0545
47,Email on the assign of the Premium Merchant Code,email-on-the-assign-of-the-premium-merchant-code,This email is sent when Premium Merchant Codes are assigned to any role,Premium Merchant Codes Assigned,Premium Merchant Codes Assigned,"Dear {username},&nbsp;You have been assigned with {merchant_premium_code_count} Premium Merchant Codes.&nbsp;You can use these codes to upgrade merchants packages.&nbsp;",True,2023-03-02 17:28:24.415 +0545,2023-09-07 11:35:10.824 +0545
154,Topup for the first time by the member issued by White Label,topup-for-the-first-time-by-the-member-issued-by-white-label,"This email is sent to White Label User, when the member issued by them performs their top-up. This email is sent every time when the member performs transaction.",Member Upgraded to Premium,Member Upgraded to Premium,"Dear {whitelabel},Congratulations!! A member issued by you has now upgraded to premium membership. Details about this member are provided below.Member Name : {member_name}Member ID : {member_id}You will now receive a percentage of the membership and friendship for each transaction made by this member.",True,2022-11-11 10:48:59.166 +0545,2023-09-07 10:19:13.826 +0545
57,Area Owner Agreement Approved,area-owner-agreement-approved,Area Owner Agreement Approved,Area Owner Agreement Approved,Area Owner Agreement Approved,"Dear {areaowner},&nbsp;Congratulations!! Your submitted Area Licensee Agreement has been verified. In order to be able to issue membership, login in to your panel and go to Agreements &gt; Area Licensee Agreement and submit the agreement.",False,2022-11-09 12:10:48.959 +0545,2023-01-19 18:09:59.526 +0545
137,New EOI Received of charity,new-eoi-received-of-charity,This email is sent to Country Admin when new Charity EOI is received.,New Registration Received,New Registration Received,"Dear {countryadmin},A New Charity request has been received.&nbsp;Charity Name : {charity_name}Email:{charity_email}Phone:{charity_phone}Login to your Dashboard to view this request.",True,2022-11-11 09:24:58.501 +0545,2023-09-07 10:51:18.209 +0545
48,Email on the assign of the Premium Member Code,email-on-the-assign-of-the-premium-member-code,This email is sent when Premium Member Codes are assigned to any role,Premium Member Codes Assigned,Premium Member Codes Assigned,"Dear {username},&nbsp;You have been assigned with {member_premium_code_count} Premium Member Codes.&nbsp;You can use these codes to register new TouristSaver members.",True,2023-03-02 17:31:03.686 +0545,2023-09-07 11:34:19.206 +0545
16,Expiry of Universal Piiinks,expiry-of-universal-piiinks,Email sent to member when their Universal TouristSavers are about to expire.,Universal TouristSavers Expiry,Universal TouristSavers Expiry,"Dear {member},&nbsp;Universal TouristSaver credits in your account are going to expire on {universalpiinkexpirydate}. Please make use of these touristsavers&nbsp;before they expire.",True,2022-11-08 17:39:24.809 +0545,2023-09-07 12:02:37.306 +0545
17,Account Expiry Notification,account-expiry-notification,Email sent to member when their account is about to expire.,Account Expiry,Account Expiry,"Dear {member},&nbsp;Your TouristSaver account is going to expire on {expirydate}. To continue using TouristSaver, please renew your TouristSaver account prior to this date.&nbsp;",True,2022-11-08 17:45:46.628 +0545,2023-09-07 12:01:15.508 +0545
146,Charity Registration Successful for white label user,charity-registration-successful-for-white-label-user,Email sent to White Label Users when the charity requested by them is approved. ,Charity Registration Successful,Charity Registration Successful,"Dear {whitelabeluser},Congratulations!! Your requested charity with following details has been successfully registered in the TouristSaver System.&nbsp;Charity Name: {charity_name}Email: {charity_email}Phone: {charity_phone}Please encourage this club to sign the charity agreement so that they can issue membership.",True,2022-11-11 09:50:11.785 +0545,2023-04-02 13:28:15.367 +0545
72,Registration(EOI) Submitted for country owner,registration-eoi-submitted-for-country-owner,Email sent to country owner when the their EOI is summitted successfully,Expression of Interest Submitted,Expression of Interest Submitted,"Dear {username},Congratulations!! Your request to register with TouristSaver has been successfully submitted. Our team will contact you shortly.",True,2022-11-09 12:25:18.259 +0545,2023-09-07 11:29:02.332 +0545
139,Charity Registration Successful for region owner,charity-registration-successful-for-region-owner,Email sent to Region Owners when the charity requested by them is approved. ,Charity Registration Successful,Charity Registration Successful,"Dear {regionowner},Congratulations!! Your requested charity with following details has been successfully registered in the TouristSaver System.&nbsp;Charity Name: {charity_name}Email: {charity_email}Phone: {charity_phone}Please encourage this club to sign the charity agreement so that they can issue membership.",True,2022-11-11 09:26:49.665 +0545,2023-04-02 13:30:18.676 +0545
144,Club Registration Successful for area owner,club-registration-successful-for-area-owner,This email is sent to Area Owners  when the club requested by them is approved. ,Club Registration Successful,Club Registration Successful,"Dear {areaowner},Congratulations!! Your requested club with following details has been successfully registered in the TouristSaver System.&nbsp;Club Name: {club_name}Email: {club_email}Phone: {club_phone}Please encourage this club to sign the club agreement so that they can issue membership.",True,2022-11-11 09:42:08.153 +0545,2023-04-02 13:32:19.248 +0545
74,Registration(EOI) Submitted for region owner,registration-eoi-submitted-for-region-owner,Registration(EOI) Submitted for region owner,Expression of Interest Submitted,Expression of Interest Submitted,"Dear {username},Congratulations!! Your request to register with TouristSaver has been successfully submitted. Our team will contact you shortly.&nbsp;",True,2022-11-09 12:30:35.198 +0545,2023-09-07 11:27:53.210 +0545
143,Club Registration Successful for region owner,club-registration-successful-for-region-owner,This email is sent to Region Owners when the club requested by them is approved. ,Club Registration Successful,Club Registration Successful,"Dear {regionowner},Congratulations!! Your requested club with following details has been successfully registered in the TouristSaver System.&nbsp;Club Name: {club_name}Email: {club_email}Phone: {club_phone}Please encourage this club to sign the club agreement so that they can issue membership.",True,2022-11-11 09:41:36.611 +0545,2023-04-02 13:32:31.759 +0545
245,Introducing Piiink Merchant App,introducing-piiink-merchant-app,Introducing TouristSaver Merchant App,Introducing TouristSaver Merchant App,Introducing TouristSaver Merchant App,Introducing TouristSaver Merchant App,True,2023-07-05 16:13:08.606 +0545,2023-07-05 16:13:08.606 +0545
103,Collaboration Partner Agreement Re-Submission,collaboration-partner-agreement-re-submission,Collaboration Partner Agreement Re-Submission,Collaboration Partner Agreement  Re-submitted,Collaboration Partner Agreement  Re-submitted,"Dear {countryadmin},&nbsp;A Collaboration Partner Agreement has been re-submitted.&nbsp;&nbsp;Collaboration partner name : {collaboration partner name}&nbsp;Email : {collaboratiopartner_email}&nbsp;Phone : {collaborationpartner_phone}&nbsp;&nbsp;Login to your panel to view this request.",False,2022-11-09 16:52:35.782 +0545,2023-01-31 11:57:41.129 +0545
58,Area Owner  Agreement Rejected,area-owner-agreement-rejected,Area Owner  Agreement Rejected,Area Owner Agreement Rejected with reason,Area Owner Agreement Rejected with reason,"Dear {areaowner},&nbsp;&nbsp;Your submitted Area Licensee Agreement agreement couldn't be verified. Please fix the issues mentioned below and re-submit the agreement from Agreement &gt; Area Licensee Agreement section&nbsp;&nbsp;Issues:&nbsp;{issues_description}",False,2022-11-09 12:11:33.748 +0545,2022-11-18 14:18:43.239 +0545
60,Country Owner  Agreement Submission,country-owner-agreement-submission,Country Owner  Agreement Submission,New Country Owner  Agreement Received,New Country Owner  Agreement Received,"Dear {globaladmin},&nbsp;&nbsp;A New Country Licensee Agreement has been received.&nbsp;&nbsp;Country Licensee Name : {countryownername}&nbsp;Email:{countryowner_email}Phone:{countryowner_phone}&nbsp;&nbsp;Login to your panel to view this request.",False,2022-11-09 12:13:29.045 +0545,2023-01-19 18:09:11.050 +0545
64,Charity Agreement Submission,charity-agreement-submission,Charity Agreement Submission,New Charity Agreement Received,New Charity Agreement Received,"Dear {countryadmin},&nbsp;&nbsp;A New Charity Agreement has been received.&nbsp;Charity Name:{charity_name}&nbsp;Email:{charity_email}&nbsp;Phone:{charity_phone}&nbsp;&nbsp;Login to your panel to view this request.",False,2022-11-09 12:16:51.620 +0545,2023-01-19 18:07:35.634 +0545
61,Country Owner Agreement Approved,country-owner-agreement-approved,Country Owner Agreement Approved,Country Owner  Agreement Approved,Country Owner  Agreement Approved,"Dear {countryadmin},&nbsp;Congratulations!! Your submitted Country Licensee Agreement has been verified. In order to be able to issue membership, login in to your panel and go to Agreements &gt; Issuer Agreement and submit the agreement.",False,2022-11-09 12:14:14.656 +0545,2023-01-19 18:08:56.142 +0545
